0.74675,0.35740
0.07075,0.72240
0.18546,0.02257
0.15870,0.57825
0.71076,0.87415
0.82729,0.51983
0.35691,0.05556
0.78820,0.47382
0.21300,0.71594
0.57852,0.27686
0.60101,0.32455
0.57459,0.49633
0.45399,0.76564
0.67320,0.78901
0.29571,0.33230
0.96028,0.36704
0.00762,0.90814
0.40677,0.46469
0.93678,0.21918
0.16863,0.35496
0.45180,0.16607
0.01360,0.29500
0.27895,0.72233
0.14670,0.80153
0.00037,0.37854
0.76065,0.92901
0.99705,0.92569
0.45796,0.60801
0.12811,0.75442
0.93349,0.23521
0.71064,0.22252
0.14798,0.56411
0.79536,0.93392
0.90875,0.24046
0.81121,0.36759
0.37975,0.46269
0.33572,0.51271
0.32464,0.82091
0.44855,0.03562
0.88555,0.57491
0.71652,0.94060
0.41225,0.72418
0.93742,0.81973
0.07592,0.51315
0.37737,0.59121
0.55136,0.69534
0.35634,0.00598
0.97151,0.93650
0.67652,0.43033
0.49282,0.55422
0.45138,0.79134
0.03817,0.41860
0.85816,0.36452
0.74549,0.03266
0.96720,0.56903
0.42452,0.31206
0.52111,0.97215
0.78420,0.63328
0.98489,0.21385
0.33011,0.76222
0.12012,0.90936
0.14878,0.02854
0.55044,0.21608
0.80325,0.54138
0.89997,0.31326
0.08828,0.57770
0.65935,0.79050
0.81566,0.40533
0.18720,0.23745
0.24186,0.48391
0.82638,0.22452
0.09227,0.23676
0.07467,0.14141
0.08253,0.70614
0.29325,0.27693
0.04219,0.91539
0.89926,0.80060
0.34931,0.01414
0.22808,0.23091
0.86917,0.08851
0.10805,0.46019
0.24786,0.81689
0.17672,0.35818
0.03141,0.00214
0.70518,0.82078
0.37046,0.17427
0.37690,0.36086
0.80977,0.46435
0.38657,0.52772
0.61070,0.81254
0.72045,0.84457
0.05794,0.17776
0.35068,0.03921
0.54416,0.24267
0.86460,0.09676
0.34542,0.50886
0.03055,0.08332
0.11670,0.15788
0.71002,0.16618
0.39958,0.37241
0.63290,0.32813
0.26249,0.91941
0.79967,0.99903
0.50118,0.56203
0.17070,0.22340
0.93626,0.79157
0.06428,0.24306
0.96711,0.41871
0.14121,0.25526
0.46599,0.49543
0.02664,0.91469
0.90102,0.49618
0.18905,0.24772
0.43397,0.77969
0.25577,0.52956
0.90405,0.77307
0.69684,0.89982
0.85976,0.49863
0.04497,0.38816
0.69363,0.06435
0.48928,0.69737
0.59996,0.48633
0.52679,0.58642
0.88476,0.92050
0.74440,0.37059
0.30514,0.28644
0.48280,0.64042
0.24340,0.65976
